name,logo
YesStyle,https://www.google.com/s2/favicons?sz=48&domain_url=https%3A%2F%2Fwww.yesstyle.com%2F
Amazon,https://www.google.com/s2/favicons?sz=48&domain_url=https%3A%2F%2Famazon.ca
SKIN1004,https://www.google.com/s2/favicons?sz=48&domain_url=https%3A%2F%2Fwww.skin1004.com%2F%3Fsrsltid%3DAfmBOoqiHZYT4rSKNlPprHojxbY4XwzOTMQTU3MXGYEnRQYFvFXbw_5z
Beauty of Joseon,https://www.google.com/s2/favicons?sz=48&domain_url=https%3A%2F%2Fbeautyofjoseon.com%2F%3Fsrsltid%3DAfmBOooFW_4y0l_sPvYdk-VNY8hpe73b_ma2rvbVoHEtNSmFpcNDvrjM
RoundLab,https://www.google.com/s2/favicons?sz=48&domain_url=https%3A%2F%2Froundlab.com%2F
Anua,https://www.google.com/s2/favicons?sz=64&domain_url=https%3A%2F%2FAnua.com
COSRX,https://www.google.com/s2/favicons?sz=48&domain_url=https%3A%2F%2FCosrx.com
The Ordinary,https://www.google.com/s2/favicons?sz=64&domain_url=https%3A%2F%2FTheOrdinary.com
skin cupid,https://www.google.com/s2/favicons?sz=48&domain_url=https%3A%2F%2Fwww.skincupid.ca%2F
Olive Young,https://www.google.com/s2/favicons?sz=64&domain_url=https%3A%2F%2Foliveyoung.com%2F
Stylevanna,https://www.google.com/s2/favicons?sz=64&domain_url=https%3A%2F%2Fwww.stylevana.com%2Fen_CA%2F
